code,year,Manip,Readty,Analy,Turn,Roe,Lev,Size,Comstate,Roc,PE,PS,Eps,Opps,Rps,Ncfops,IO,MO,ED,Beta,PB,sector,TOPSalary,Readty_predicted,Readty2,Lnma,Equity,Same,Digital,Big4
sz.000571,2014,1,11.81021511,1.098612289,445.870608,0.034922,0.3549,4466387987,0,0.3368,39.6395,4.0462,0.11,0.17,0.82,-0.41,22.6805,1.3159,5.1977,0.97465,1.355212,S,15.16946091,12.55909915,12.27947007,0.693147181,0,0,0,0
sz.000576,2014,0,14.82659841,0,291.766666,0.010055,0.294,1456242223,0,0.266,253.4591,11.8687,0,0.01,0.3,-0.07,46.04,0.0049,1.3148,0.65262,4.9506125,C,14.01436224,11.65339115,15.30016539,0,0,0,0,0
sz.000581,2014,1,13.39513122,3.36729583,358.519401,0.141766,0.2226,14488589168,54026400,-0.1289,22.1297,4.8972,1.21,1.62,5.92,0.69,55.497,0.0067,0.8079,0.85135,2.430275,C,14.5555418,11.9656942,13.89188561,0.693147181,1,0,0,0
sz.000584,2014,1,12.60004536,0,276.017493,0.085909,0.4029,3490839351,171916,0.0517,11.2893,1.519,0.33,0.43,2.56,0.45,34.6158,0.0028,0.4678,1.13957,1.795121667,C,13.88317014,11.4942678,13.07698263,0.693147181,0,0,0,0
sz.000586,2014,0,12.41668461,0,356.10336,0.032389,0.5617,537574296.1,0,0.6977,112.0614,4.7935,0.01,-0.01,1.46,-0.19,35.4554,0,2.4722,1.06075,6.1951915,C,13.34870341,11.13815062,12.88811963,0,0,1,0,0
sz.000592,2014,1,12.18218816,1.609437912,811.036305,0.061921,0.3334,2145355838,0,1.085,276.1827,16.7237,0.02,0.01,0.23,0.13,37.6562,0.0086,1.4975,1.28559,6.86342075,A,14.04701982,11.80680644,12.64470697,0.693147181,0,0,0,0
sz.000596,2014,0,12.54511933,3.044522438,350.930725,0.142797,0.3481,6413518166,0,0.6481,29.9433,4.0624,0.91,1.59,9.2,0.5,73.3121,0.0002,1.2765,1.1096,3.093995,C,14.88836084,12.38193171,13.06074606,0,1,0,0,0
sz.000597,2014,0,11.90934586,0.693147181,524.001894,0.032682,0.6779,8572868594,36866898,0.5259,-36.368,1.2987,-0.04,-0.03,2.02,-0.06,47.1642,0.0056,2.0779,0.88544,1.81983425,C,13.88727385,11.6194572,12.40618524,0,1,1,0,0
sz.000598,2014,2,11.58931782,2.397895273,873.83308,0.100896,0.3835,12151049269,1255706394,0.3264,28.2544,9.4406,0.09,0.09,0.22,0.31,48.3568,0,1.2246,1.06383,2.379344,D,14.38082494,12.05823321,12.05122501,1.098612289,1,1,0,0
sz.000607,2014,1,13.92300121,0,452.641791,0.149525,0.3216,1952952747,529966415,1.4376,908.2819,6.7242,0.01,0.01,1.45,-0.23,63.5205,0,1.9593,0.57132,8.143802333,R,14.43139919,12.11194801,14.38379182,0.693147181,1,1,1,0
sz.000610,2014,0,12.76734641,0,540.065703,-0.047909,0.2424,576615171.2,0,0.6168,217.4538,3.105,0,0,1.06,-0.06,44.2557,0.0118,4.8965,0.89723,3.69904,N,13.81711028,11.55412376,13.2693612,0,1,0,0,0
sz.000619,2014,0,14.91170171,0,286.714882,0.045888,0.3538,4060067203,0,0.3695,28.6412,0.8856,0.28,0.37,8.43,1.12,45.5031,0,0.9967,0.90102,1.08310475,C,14.38835334,11.94208726,15.41689381,0,1,0,0,0
